video_id,title,description,channel,publish_date,view_count,like_count,comment_count
v0co0qjH75k,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-28T04:32:52Z,74872,72,6
qg6aqCuPBsY,TN ASSEMBLY ELECTION - 2026 | Latest Opinion Poll | Survey | Exit Poll | Tamil Nadu,"TN ASSEMBLY ELECTION - 2026 | Latest Opinion Poll | Survey | Exit Poll | Tamil Nadu 

#TNElectionExitPoll #TNElectionExitPolls #TNElection2026ExitPoll | #TNElection2026 | #ExitPoll2026 | #TamilNaduElectionResult | #TamilNaduElection | #ElectionResult | #AssemblyElection2026 | #AssemblyElectionResult | #ElectionExitPoll | #TNPolls | #TamilNaduPolitics | #ElectionLive | #TNResults | #ExitPollLive | #DMK | #AIADMK | #BJP | #NTK | #TVK | #Vijay | #MKStalin | #EPS | #Seeman |  #ElectionUpdates |  #VoteCount2026 | #LiveExitPoll | #ElectionBreaking | #ElectionUpdates | #ElectionLiveUpdates | #ExitPollLiveUpdates | #OpinionPoll | #OpinionPollLiveUpdates | #ExitPollLiveUpdatesWithPolimerNews 

ப்ளே ஸ்டோர் மற்றும் ஆப் ஸ்டோரில் இருந்து பாலிமர் செயலியை பதிவிறக்கம் செய்யுங்கள்.. செய்திகளை உடனுக்குடன் பெறுங்கள்..
https://play.google.com/store/apps/details?id=com.primeapps.PolimerNews
 https://apps.apple.com/in/app/polimer-news/id1118655630 
  
 
Watch Polimer News, Tamil Nadu’s No. 1 news channel, live! Catch breaking news and live reports as they emerge around the world. Stay updated on the latest stories from the worlds of politics, entertainment, sports, business, social media and so much more. Polimer News is your trusted source for crisp and unbiased news. Watch now!. 

 #PolimerNews | #PolimerNewsLive | #LivePolimerNews | #Polimer | #TamilNews | #NewsLive | #LiveNews | #LiveTamilNews | #LiveNewsTamil | #TamilLiveNews | #BreakingNews | #PolimerBreaking | #LatestNews | #PolimerLatestNews | #TopNewsStories | #TamilNewsChannel | #PolimerNewsTamil | #PolimerNewsToday

... to know more watch the full video &  Stay tuned here for the latest Tamil News updates...

Android: https://goo.gl/T2uStq

iOS: https://goo.gl/svAwa8

Polimer News App Download: https://goo.gl/MedanX

Subscribe: https://www.youtube.com/c/polimernews

Website: https://www.polimernews.com

Like us on: https://www.facebook.com/polimernews

Follow us on: https://twitter.com/polimernews


About Polimer News:

Polimer News brings unbiased News and accurate information to the socially conscious common man.

Polimer News has evolved as a 24 hours Tamil News satellite TV channel. Polimer is the second-largest MSO in Tamil Nadu, catering to millions of TV viewing homes across ten districts.

Founded by Mr. P.V. Kalyana Sundaram, the company currently runs eight basic cable TV channels in various TN and Polimer TV channels, a fully integrated Tamil GEC reaching millions of Tamil viewers worldwide.

The channel facilitates the production of art in Chennai. Besides a library of more than 350 exclusive movies, the channel also beams 8 hours of original content every day.

Polimer News extends its vision to various genres, including reality. In short, it aims to become a strong and competitive channel in the GEC space of the Tamil television scenario.

The biggest strength of the channel is its people, who are a bunch of best talents in its role.  A clear vision backed by the best brains gives Polimer a clear cut edge over its competitors in the crowded Tamil TV landscape.",Polimer News,2026-04-29T17:13:26Z,342458,1663,6
5Ph6hEaN1ns,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-29T03:00:15Z,149681,169,3
l9D-I4JPp-4,TV5 Murthy Intro of Big News Debate | Tamil Nadu Assembly Election Result | TVK Vijay | TV5 News,"TV5 Murthy Intro of Big News Debate | Tamil Nadu Assembly Election Result | TVK Vijay | TV5 News


LIVE : సీఎం విజయ్? | Big News Debate with Murthy | TVK VIjay | TV5 News

#LIVE #BigNewsDebate #TV5Murthy #TVKVIjay #TV5News 



Watch TV5 News LIVE : https://www.youtube.com/live/ho9JlBnrGWg

The channel telecasts hourly Telugu news bulletins and 30 special news bulletins, with the support of 294 special reporters in every constituency of the Telugu states of Andhra Pradesh and Telangana, in addition to bureaus in Hyderabad, Vishakapatnam, and Vijayawada.

Its news bulletins last round 20–25 minutes (without including commercials).

One of the channel's notable features is its business content. Market analysts provide financial analysis to the audience on a day-to-day basis. The channel has won the best business show award from a national television awards committee

Subscribe to TV5 News for Latest Happenings and Breaking news from Andhra and Telangana. 

For More Updates
► TV5 News Live : https://youtu.be/ox2rT1KRkFI
► Subscribe to TV5 News Channel: http://goo.gl/NHJD9
►Our Website : http://www.tv5news.in
► Like us on Facebook: http://www.facebook.com/tv5newschannel
► Follow us on Twitter: https://twitter.com/tv5newsnow
► Follow us on Pinterest: https://www.pinterest.com/tv5newschannel",TV5 News ,2026-04-30T15:58:26Z,6761,70,5
8_y3KfyyS2Y,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-27T13:37:07Z,66812,98,7
HDwPAyPRv1U,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-27T04:53:23Z,92130,111,11
UF6sHfRBqIM,Assembly Elections Exit Polls LIVE | Exit Polls 2026 | Bengal Results | TN | Assam | Kerala,"Assembly Elections 2026 Exit Polls LIVE brings you the biggest predictions and sharpest analysis from West Bengal, Tamil Nadu, Assam, and Kerala. 

#ExitPolls2026 #AssemblyElections2026 #BengalResults #TamilNaduElections #AssamElections #KeralaElections #WestBengalPolls #BJPvsTMC #ElectionResults #BreakingNews 

About NDTV (English news channel): 
 
NDTV is India's Most-Trusted News Broadcaster with the latest updates in news, sports, entertainment and much more from within India and around the world. Watch big political debates, exclusive entertainment interviews, news bulletins, current affairs, talk shows and tech reviews with our 24x7 news live streams, packed with credible information across all platforms: TV, Internet and Mobile.

For Latest Videos, click here: https://www.youtube.com/playlist?list=PLYSfYVdrOZvh5iPadUPTAg3sxFD_DZpT_

To watch NDTV 24x7's premium shows listed together for your easy access, click here: https://www.youtube.com/@NDTV/playlists?view=50&sort=dd&shelf_id=5

For Ground Reports and Analysis from NDTV's reporters and anchors of day's top news stories, click here: https://www.youtube.com/playlist?list=PLYSfYVdrOZvgHr6OHiZYKbr_21MOmvk04

For News in Shorts, click here: https://www.youtube.com/playlist?list=PLYSfYVdrOZvjJ8fhLPk_Fz4tFARkpG-Y-

Subscribe to our channel to get latest news updates.
 
Follow us on Social Media: 
WhatsApp: https://whatsapp.com/channel/0029Va4lixw7z4kcvZI9JM12 
Facebook: https://www.facebook.com/ndtv/
Twitter: https://twitter.com/ndtv/   
Instagram: https://www.instagram.com/ndtv/ 
Telegram Messenger: https://t.me/NDTVbot/?start=hi 
 
Follow us on Google News for Breaking and Latest News Updates:
NDTV: https://bit.ly/3e5ngbP
NDTV India (Hindi News): https://bit.ly/3mNVwMY 
 
Download NDTV Mobile Apps: http://www.ndtv.com/page/apps 
 
#BreakingNews #LatestNews #TodayNews #News #IndiaNews #CurrentAffairs #NDTV",NDTV,2026-04-30T06:53:03Z,113012,1337,2
x41RNukbp74,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-29T05:52:57Z,778564,874,27
7fdUiyDXWfU,Tamil Nadu Exit Polls:  Massive Youth Shift As Ruling Party Rejects Survey Data | Vijay Next CM?,"Recent exit poll data for the Tamil Nadu assembly elections indicates a significant shift in voter demographics, particularly among the youth. The survey projects that a massive majority of first-time voters and those under thirty are supporting a new political entrant, moving away from the traditional regional parties. The data also suggests this new challenger is making inroads into various community vote banks, including Scheduled Castes, Scheduled Tribes, and Other Backward Classes, which traditionally supported the established parties. Representatives from the ruling party and the primary opposition have completely dismissed the survey numbers. The ruling party spokesperson rejected the data, asserting they will secure a massive majority and form the government independently, while labeling the new challenger as a mere vote cutter. Similarly, the main opposition representative called the poll's arithmetic flawed, arguing that the new entrant will negatively impact the ruling party rather than their own vote share. The final election results will be declared on Monday. 

 #TamilNaduElections #ExitPoll #YouthVote #itwebvideos  #AssemblyElections #VoteShare #ElectionResults #StatePolitics #ElectionData #PoliticalShift #FirstTimeVoters #ElectionPredictions #VotingPatterns #RegionalPolitics #ElectionAnalysis #TamilNaduPolitics #DMK #AIADMK #TVK #AxisMyIndia 

 
Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new video.

All you need to do is PRESS THE BELL ICON next to the Subscribe button!

India Today TV is India's leading English News Channel. India Today YouTube channel offers latest news videos on Politics, Business, Cricket, Bollywood, Lifestyle, Auto, Technology, Travel, Entertainment and a lot more.

Stay tuned for latest updates and in-depth analysis of news from India and around the world!

WhatsApp Channel: https://whatsapp.com/channel/0029Va2AnW3JENxxg7OuJv00

Download App: https://indiatoday.link/wHaj

Follow us: Official website: https://www.indiatoday.in/

Twitter: https://twitter.com/IndiaToday

Facebook: https://www.facebook.com/IndiaToday",India Today,2026-04-30T05:57:26Z,36022,316,70
dmlKefPvlnk,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-28T10:31:30Z,98293,148,3
04_sqHtP4ok,కింగ్ పిన్‌గా విజయ్.. | Tamil Nadu Assembly Elections Exit Polls 2026 | DMK VS TVK | #VanaraNews,"కింగ్ పిన్‌గా విజయ్.. | Tamil Nadu Assembly Elections Exit Polls 2026 | DMK VS TVK | #VanaraNews

#ExitPolls #IndiaExitPolls #Election2026 #WestBengalExitPoll #AssamExitPoll #TamilNaduExitPoll #KeralaExitPoll #PuducherryExitPoll #ElectionResults #ExitPollResults #BreakingNews #AxisMyIndia #PradeepGupta #vanaranews 


Welcome to Vanara News, your trusted source for Telugu Political News, Political Analysis, and Breaking Updates from Andhra Pradesh and Telangana.

At Vanara News, we explain Telugu Politics in a clear, simple, and fact-based way.

This channel covers:
• AP Politics Updates
• TS Politics & Government Decisions
• Breaking Telugu Political News
• Political Analysis & Ground Reality
• Viral Political Debates Explained
• Public Voice & People Issues

We regularly track major political leaders such as N. Chandrababu Naidu, Y. S. Jagan Mohan Reddy, Pawan Kalyan, and Revanth Reddy, along with developments in parties including the Telugu Desam Party, YSR Congress Party, Jana Sena Party, Bharatiya Janata Party, and Indian National Congress.

Subscribe to Vanara News for daily updates on Telugu Political News | AP Politics | TS Politics | Breaking News | Political Analysis | Andhra Pradesh Politics | Telangana Politics | Telugu Media | Government Decisions | Public Issues

Vanara News – Real Issues. Responsible Journalism. People First.",Vanara News,2026-04-30T11:25:47Z,4503,27,0
3vVKr6AwCks,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-27T10:41:11Z,78226,109,5
9L3ZnNUGNUw,Tamilnadu assembly election 2026! Who will be win next election!#tamilshorts#tamilnadu #tamilnews,Tamilnadu assembly election 2026! Who will be the government!#election#tamilshorts#tamilnadu#tamil #tamilnews#tamilcinema#tamilshorts#bjpgovernment #bjj#bjpvscongress#bjp4india#bjp4india,memes_ka_khazana_7869,2026-04-27T12:29:23Z,82468,157,3
INShVMNC5AA,TVK is Disrupting: JVC Sreeram's Big Statement on Tamil Nadu Assembly Polls Results | Exit Polls,"JVC Sreeram claims TVK is emerging as a major disruptor in the Tamil Nadu Assembly polls landscape. His remarks come amid mixed exit poll projections, sparking debate over the party’s potential performance. Watch the video to know more. 
#jvcsreeram #tvk #tamilnaduelections #assemblypolls #exitpolls #election2026 #tamilnadupolitics #politicaldebate #breakingnews #electionbuzz #vote2026 #indiapolitics #pollpredictions #tnassemblypolls #politicalanalysis


Times Now - Times Now News channel examines news with in-depth analysis. We provide much more than the Get Breaking news, the Latest news, Politics news, of the day. Times Network houses upscale television channels.

Times Network takes the lead with its ground-breaking innovation and disruption of a new content category. The Times Network channels, which have a global footprint in 100 countries, inform, entertain, and engage viewers of all ages with fascinating and intriguing content, news, and information.

Subscribe to our channel -https://www.youtube.com/@TimesNow/
Check out our website: https://www.timesnownews.com
Download our App for Breaking News:https://tinyurl.com/yc5hp7ma
Facebook: https://www.facebook.com/Timesnow
Twitter: https://twitter.com/timesnow
Instagram: https://instagram.com/timesnow

You can Search us on YouTube by- @timesnow",Times Now,2026-04-30T15:21:06Z,32819,130,83
WAZgp3RO9Eo,Tamilnadu Assembly elections 2026! Who will the government!#election#tamilnadu#tamilshorts,Tamilnadu Assembly elections 2026! Who will the government!#election#tamilnadu#tamilshorts,BABU SUBASH YT,2026-04-27T14:26:01Z,719103,591,10
WyAz8VIktqc,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-28T16:02:45Z,571311,552,10
1Z6nKy-ntK0,5 State Assembly Election Exit Polls 2026 | Tamil Nadu & West Bengal Exit Polls | NTV Telugu,"5 State Assembly Election Exit Polls 2026 | Tamil Nadu & West Bengal Exit Polls | NTV Telugu 
For more latest updates on the news :  
► Visit Our Website : https://ntvtelugu.com/
► Subscribe to NTV News Channel: http://goo.gl/75PJ6m
► Like us on Facebook: https://www.facebook.com/NtvTeluguLive/
► Follow us on Twitter At https://twitter.com/ntvtelugulive

Watch NTV Telugu News Channel, popular Telugu News channel which also owns India's first women's channel Vanitha TV, and India's most popular devotional channel Bhakti TV. 
#ntvtelugu #ntv  #ntvlive #ntvnews #BreakingNews #Headlines #TodayHeadlines #TopNews #PrimeNews #SpeedNews",NTV Telugu,2026-04-29T14:44:54Z,26744,196,7
_8sFNT3o3pY,🔴LIVE : విజయ్ సీఎం!| Vijay As Tamil Nadu CM! | Tamil Nadu Assembly Elections 2026 | DMK VS TVK | RTV,"🔴LIVE : విజయ్ సీఎం!| Vijay As Tamil Nadu CM! | Tamil Nadu Assembly Elections 2026 | DMK VS TVK | RTV

#vijay #tamilnaducm #dmkvstvk #rtvsrikakulam 

►For More News Updates, Visit : https://www.rtvlive.com
►Download Our Android APP : https://play.google.com/store/apps/details?id=com.rtvnewsnetwork.rtv
► Download Our IOS App : https://appstoreconnect.apple.com/apps/6466401505/appstore

About Channel:
RTV News Network is your top source for reliable, Unbiased news updates from Telugu States and across the globe. Operating Out of Hyderabad, RTV Network covers news from every corner of Telugu States.  We at RTV Network, favour high-quality programming and news, rather than sensational infotainment.  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------

Please visit our Social Media pages for regular updates:

Like Us On Facebook:      https://www.facebook.com/RTVTeluguNews/
Follow Us On Instagram: https://www.instagram.com/rtvnewsnetwork/
Follow Us On Twitter:       https://twitter.com/RTVnewsnetwork",RTV Srikakulam,2026-04-30T16:43:11Z,127812,412,1
0SDgeJfbT7Q,TN EXIT POLL 2026 | Tamil Nadu Election Prediction | TN Assembly Election | ஆட்சி அமைக்கிறார் விஜய்,"TN EXIT POLL 2026

#ExitPoll2026 #Election2026 #ExitPollLive #ExitPollResults #ElectionPrediction #AssemblyElection2026 #IndiaElections #BreakingNews #PoliticalNews #ElectionUpdates
#TNElection2026 #TamilNaduExitPoll #TNExitPoll #TamilNaduElection #TNElectionPrediction
#KeralaElection2026 #KeralaExitPoll #KeralaElectionPrediction
#PuducherryElection2026 #PuducherryExitPoll #PondicherryElection
#WestBengalElection2026 #WestBengalExitPoll #BengalElection
#AssamElection2026 #AssamExitPoll #AssamElection

exit poll 2026, election 2026 exit poll, india election exit poll, exit poll live, exit poll results, election prediction 2026, assembly election exit poll
tamil nadu election 2026, tn exit poll 2026, tamil nadu election prediction, tn election live
kerala election 2026, kerala exit poll 2026, kerala election prediction
puducherry election 2026, puducherry exit poll, pondicherry election news
west bengal election 2026, west bengal exit poll, bengal election prediction
assam election 2026, assam exit poll 2026, assam election prediction
india political news, election breaking news, live election updates


| Watch Sathiyam News Live for the latest Tamil news updates, breaking news, political news, and Tamil Nadu headlines — anytime, anywhere!  

📺 LIVE:  https://youtu.be/1_bFmYDf85U

🔔 Subscribe to Sathiyam News to stay informed about:  
- Tamil Nadu political news  
- Breaking Tamil news live  
- Sports, business, cinema, and world news  
- Exclusive interviews and in-depth analysis  

📱 Follow Sathiyam News for Daily Updates:  
WhatsApp: https://whatsapp.com/channel/0029vAaZ...  
Facebook: https://www.fb.com/SathiyamNEWS  
Instagram: https://instagram.com/sathiyamtv  
Twitter (X): https://x.com/sathiyamnews  
Threads: https://threads.net/@sathiyamnews  
🌐 Website: https://sathiyam.tv  

📰 About Sathiyam News:  
Sathiyam News is a 24-hour Tamil news channel delivering the most trusted and unbiased news on politics, economy, sports, entertainment, and Tamil Nadu current affairs.  
Our team brings breaking stories, exclusive interviews, and expert analysis from across India and worldwide.  

Stay updated, stay informed — only with Sathiyam News Tamil Live.  

#sathiyamtv #sathiyamnews #tamilnews #tamilnadunews #breakingnews #politics #newsupdate #livenews #todaynews #sathiyamnewslive #tamilnewslive #cmstalin #eps #tamilmedia",Sathiyam News,2026-04-29T16:44:56Z,144363,1080,73
lEYYEbA6MlQ,స్టాలిన్‌కు షాక్.. విజయ్ మ్యాజిక్! |  | Tamil Nadu Assembly Elections 2026 | DMK VS TVK | RTV,"Brand placement 



స్టాలిన్‌కు షాక్.. విజయ్ మ్యాజిక్! |  | Tamil Nadu Assembly Elections 2026 | DMK VS TVK | RTV




►For More News Updates, Visit : https://www.rtvlive.com
► Join Our Whats APP Channel : https://whatsapp.com/channel/0029Va9lQhBGk1Fr2DHRUO1U
►Download Our Android APP : https://play.google.com/store/apps/details?id=com.rtvnewsnetwork.rtv
► Download Our IOS App : https://apps.apple.com/in/app/rtv-live/id6466401505


About Channel:
RTV News Network is your top source for reliable, Unbiased news updates from Telugu States and across the globe. Operating Out of Hyderabad, RTV Network covers news from every corner of Telugu States.  We at RTV Network, favour high-quality programming and news, rather than sensational infotainment.  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------

Please visit our Social Media pages for regular updates:

Like Us On Facebook:     https://www.facebook.com/RTVTeluguDigital/
Follow Us On Instagram:   https://www.instagram.com/rtvnewsnetwork/
Follow Us On Twitter:       https://twitter.com/RTVnewsnetwork",RTV ,2026-04-30T02:38:39Z,27194,144,0
